frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
75.87,-7.44,-7.44,-7.44,-7.44,7.44,7.33,0.00,-0.00,0.00
76.63,-7.49,-7.49,-7.49,-7.49,7.49,7.36,0.00,-0.00,0.00
77.40,-7.53,-7.53,-7.53,-7.53,7.53,7.40,-0.00,0.00,0.00
78.17,-7.57,-7.57,-7.57,-7.57,7.57,7.43,0.00,-0.00,0.00
78.95,-7.61,-7.61,-7.61,-7.61,7.61,7.46,0.00,-0.00,0.00
79.74,-7.65,-7.65,-7.65,-7.65,7.65,7.50,-0.00,0.00,0.00
80.54,-7.69,-7.69,-7.69,-7.69,7.69,7.53,0.00,-0.00,0.00
81.35,-7.72,-7.72,-7.72,-7.72,7.72,7.57,0.00,-0.00,0.00
82.16,-7.76,-7.76,-7.76,-7.76,7.76,7.61,-0.00,0.00,0.00
82.98,-7.79,-7.79,-7.79,-7.79,7.79,7.64,0.00,-0.00,0.00
83.81,-7.82,-7.82,-7.82,-7.82,7.82,7.68,0.00,0.00,0.00
84.65,-7.85,-7.85,-7.85,-7.85,7.85,7.72,-0.00,0.00,0.00
85.50,-7.87,-7.87,-7.87,-7.87,7.87,7.76,0.00,-0.00,0.00
86.35,-7.90,-7.90,-7.90,-7.90,7.90,7.79,-0.00,0.00,0.00
87.22,-7.92,-7.92,-7.92,-7.92,7.92,7.83,0.00,0.00,0.00
88.09,-7.94,-7.94,-7.94,-7.94,7.94,7.87,0.00,-0.00,0.00
88.97,-7.96,-7.96,-7.96,-7.96,7.96,7.90,-0.00,0.00,0.00
89.86,-7.97,-7.97,-7.98,-7.98,7.98,7.93,0.00,-0.00,0.00
90.76,-7.99,-7.99,-7.99,-7.99,7.99,7.96,0.00,0.00,0.00
91.66,-8.00,-8.00,-8.00,-8.00,8.00,7.99,-0.00,0.00,0.00
92.58,-8.01,-8.01,-8.01,-8.01,8.01,8.02,0.00,-0.00,0.00
93.51,-8.02,-8.02,-8.02,-8.02,8.02,8.04,-0.00,0.00,0.00
94.44,-8.02,-8.02,-8.02,-8.02,8.02,8.06,0.00,-0.00,0.00
95.39,-8.02,-8.02,-8.02,-8.02,8.02,8.08,0.00,0.00,0.00
96.34,-8.02,-8.02,-8.02,-8.02,8.02,8.09,0.00,0.00,0.00
